symbol,accuracy,recall,precision,trade_amount,pred_ct
NMHLY,0.8820224719101124,0.0,0.0,0,0
MSI,0.6805194805194805,0.0,0.0,0,0
APA,0.5963470319634703,0.13784764207980654,0.4,-4.920001983642575,285
PSX,0.6056603773584905,0.009523809523809525,0.6666666666666666,4.129997253417969,3
AXP,0.7032664305391578,0.0013280212483399733,0.3333333333333333,-2.0300025939941406,3
VZ,0.7349643221202854,0.0,0.0,0,0
TRAUF,0.9109756097560976,0.0,0.0,0,0
CPB,0.6677299308878256,0.0,0.0,0.04000091552734375,1
D,0.6866527632950991,0.013513513513513514,0.32,-4.959983825683572,25
ACN,0.6538821328344246,0.0,0.0,0,0
FPLPF,1.0,0.0,0.0,0,0
INTH,-999.999,-999.999,-999.999,-999.999,-999.999
UEEC,0.6367088607594936,0.01730103806228374,0.625,0.2520000934600828,8
MDT,0.6977648202137998,0.0,0.0,0,0
DPZ,0.6543478260869565,0.006389776357827476,0.2222222222222222,-11.289993286132841,9
AKAM,0.6410034602076125,0.0,0.0,0,0
NRG,0.6277602523659306,0.0,0.0,0,0
NOW,0.5857418111753372,0.009302325581395349,0.5,17.920043945312443,4
FMBM,0.8156565656565656,0.0,0.0,0,0
ALB,0.6112266112266113,0.0035587188612099642,0.6666666666666666,0.0,3
KR,0.6186147186147186,0.08782936010037641,0.3125,-17.059999465942443,224
LVS,0.6135857461024499,0.0,0.0,0.18999862670898438,1
WEC,0.48537095088819227,0.5290322580645161,0.32125367286973555,18.62992095947321,1021
ABBV,0.6186612576064908,0.0,0.0,0,0
PNR,0.6665330661322645,0.0036319612590799033,0.25,0.2081909179687571,12
WU,0.6472772277227723,0.0,0.0,0,0
WRB,0.6845238095238095,0.0,0.0,0,0
KIM,0.6345536287732819,0.012345679012345678,0.4375,0.17000007629395952,16
ESS,0.6815955213435969,0.0,0.0,0,0
CNP,0.527027027027027,0.3619271445358402,0.30048780487804877,-11.234985351562443,1025
ENS,0.6226826608505998,0.0,0.0,0,0
NEE,0.6836272040302267,0.030694668820678513,0.40425531914893614,-5.4425392150878835,47
GPC,0.6793778223783241,0.0,0.0,0.05999755859375,1
VRSK,0.6402439024390244,0.00423728813559322,0.5,1.8300018310546875,2
NTAP,0.6265682656826568,0.0,0.0,0,0
TCYSF,0.9298969072164949,0.0,0.0,0.0,1
ADP,0.6700100300902708,0.0,0.0,-2.1100006103515625,1
STX,0.585,0.0,0.0,-0.05999755859375,1
BR,0.6420382165605095,0.0,0.0,0,0
HRL,0.5349397590361445,0.3977272727272727,0.31626506024096385,5.519977569580128,664
HES,0.6103309929789368,0.010296010296010296,0.5,0.7500057220458984,16
ALGN,0.5827996340347666,0.0,0.0,-2.1699981689453125,1
ROST,0.6440677966101694,0.0,0.0,0,0
AWK,0.6493150684931507,0.0,0.0,0,0
FDX,0.6665182546749777,0.005333333333333333,0.5714285714285714,-1.17999267578125,7
RF,0.6328267477203647,0.0,0.0,0,0
HTLF,0.5634390651085142,0.11512415349887133,0.2802197802197802,-18.390022277831974,182
FRMC,1.0,0.0,0.0,0,0
FIS,0.641192917054986,0.0026041666666666665,0.3333333333333333,2.8000106811523438,3
MMC,0.7046485260770975,0.0,0.0,0,0
KEYS,0.6203473945409429,0.0,0.0,0,0
ES,0.6744669786791472,0.0,0.0,0,0
LH,0.6672760511882998,0.003663003663003663,0.5,9.86000823974608,4
LNC,0.622848200312989,0.0,0.0,0,0
HRB,0.6318984547461368,0.007564296520423601,0.3125,-0.5400047302246058,16
BK,0.685370741482966,0.0,0.0,0,0
FBHS,0.6451612903225806,0.0,0.0,0,0
DVA,0.6251840942562592,0.0,0.0,0,0
KSS,0.5822454308093995,0.10194174757281553,0.42567567567567566,-0.7500047683715731,148
DLTR,0.6434219985621855,0.006012024048096192,1.0,4.3600082397460795,3
KHC,0.6512261580381471,0.0,0.0,-1.05999755859375,2
HBAN,0.6466302367941712,0.0,0.0,-0.18000030517578125,1
FE,0.6669322709163347,0.009569377990430622,0.5,0.03000068664550426,8
FMC,0.6547872340425532,0.0,0.0,-0.33824920654296875,1
IBM,0.7180930930930931,0.0,0.0,-1.5320663452148438,2
JCI,0.6417657045840407,0.0,0.0,0,0
ANET,0.590047393364929,0.0,0.0,-0.40000152587892046,2
IEX,0.6895113230035756,0.003861003861003861,0.2857142857142857,4.8800125122070455,7
PH,0.6595744680851063,0.0,0.0,-1.6800003051757528,2
GS-PJ,0.8451882845188284,0.0,0.0,0.10999870300292969,1
TTWO,0.6144859813084113,0.0020408163265306124,0.14285714285714285,-6.500000000000028,7
PFE,0.7091696182605274,0.0,0.0,0.03795051574707031,1
ITW,0.6958965711073637,0.0,0.0,0,0
RCL,0.6148148148148148,0.08108108108108109,0.4205607476635514,-17.609989166259755,107
SLG,0.6448303078137332,0.006622516556291391,1.0,3.3625450134277344,3
NVR,0.5250266240681576,0.4772413793103448,0.40279394644935973,1131.523681640625,859
PWR,0.6336553945249598,0.0,0.0,0,0
ULTA,0.6007957559681698,0.0033444816053511705,0.25,2.4800262451171875,4
IRM,0.6342007434944238,0.025052192066805846,0.32432432432432434,-5.76999473571777,37
LKQ,0.6235662148070907,0.0,0.0,0,0
MKTX,0.6073008849557522,0.008379888268156424,1.0,20.719970703125,3
K,0.7033542976939203,0.0,0.0,-0.220001220703125,1
VRSN,0.6454983922829582,0.0,0.0,0,0
TMO,0.6815358554488989,0.0,0.0,0,0
FITB,0.6471641791044777,0.0,0.0,0,0
CHTR,0.639751552795031,0.012875536480686695,0.6,13.000061035156136,5
MAR,0.6216653193209377,0.0,0.0,-5.129997253417969,2
NOK,0.72,0.0,0.0,-0.28999996185302734,4
OMC,0.6936170212765957,0.0,0.0,0,0
NLSN,-999.999,-999.999,-999.999,-999.999,-999.999
NVRO,0.61,0.03164556962025317,0.625,6.950004577636733,8
